Species,FloraAlpinaLow,FloraAlpinaHigh,Min.elevation,Max.elevation,Alpine
Achillea clavennae,s,a,1390,3250,Alpine
Achillea distans,c,m,0,1390,Lowland
Achillea millefolium,c,s,0,1880,Lowland
Aconitum napellus,m,s,1050,1880,Lowland
Agrostis capillaris,c,s,0,1880,Lowland
Alchemilla glabra,m,a,1050,3250,Lowland
Alchemilla xanthochlora,c,a,0,3250,Lowland
Anemone alpina,m,a,1050,3250,Lowland
Anthemis cretica,m,s,1050,1880,Lowland
Anthoxanthum odoratum,c,m,0,1390,Lowland
Anthyllis vulneraria,c,n,0,4810,Lowland
Armeria alpina,a,a,1880,3250,Alpine
Armeria canescens,"Central and Eastern Med, mountains",Greece,NA,NA,Alpine
Arnica montana,s,a,1390,3250,Alpine
Artemisia umbelliformis,a,a,1880,3250,Alpine
Astragalus australis,s,a,1390,3250,Alpine
Bartsia alpina,a,a,1880,3250,Alpine
Biscutella laevigata,c,a,0,3250,Lowland
Brachypodium pinnatum,c,s,0,1880,Lowland
Briza media,c,s,0,1880,Lowland
Calamagrostis arundinacea,m,s,1050,1880,Lowland
Calluna vulgaris,m,a,1050,3250,Lowland
Campanula barbata,s,a,1390,3250,Alpine
Campanula glomerata,c,m,0,1390,Lowland
Campanula patula,c,m,0,1390,Lowland
Campanula rotundifolia,c,m,0,1390,Lowland
Campanula serrata,"Mountain meadows and pastures, Carpathians",Poland,NA,NA,Alpine?
Carduus defloratus,c,a,0,3250,Lowland
Carex atrata,m,a,1050,3250,Lowland
Carex capillaris,s,a,1390,3250,Alpine
Carex caryophyllea,c,s,0,1880,Lowland
Carex leporina,c,s,0,1880,Lowland
Carex nigra,c,a,0,3250,Lowland
Carex ornithopoda,c,a,0,3250,Lowland
Carlina acaulis,m,s,1050,1880,Lowland
Cerastium alpinum,a,a,1880,3250,Alpine
Cerastium arvense,c,a,0,3250,Lowland
Cerastium cerastoides,s,a,1390,3250,Alpine
Cerastium fontanum,c,a,0,3250,Lowland
Dactylis glomerata,c,s,0,1880,Lowland
Deschampsia cespitosa,c,a,0,3250,Lowland
Deschampsia flexuosa,c,a,0,3250,Lowland
Dianthus carthusianorum,c,s,0,1880,Lowland
Dianthus glacialis,a,a,1880,3250,Alpine
Dianthus sylvestris,c,s,0,1880,Lowland
Draba aizoides,m,m,1050,1390,Lowland
Dryas octopetala,s,a,1390,3250,Alpine
Empetrum nigrum,m,a,1050,3250,Lowland
Erica spiculifolia,Balkan subalpine mountains,Greece,NA,NA,Alpine?
Euphrasia rostkoviana,c,a,0,3250,Lowland
Festuca indigesta,"Mountain meadows, SW Europe to Elba",Spain,1500,2900,Alpine
Festuca nigrescens,m,s,1050,1880,Lowland
Festuca ovina,c,m,0,1390,Lowland
Festuca rubra,c,s,0,1880,Lowland
Festuca varia,s,a,1390,3250,Alpine
Festuca violacea,s,a,1390,3250,Alpine
Galium obliquum,c,s,0,1880,Lowland
Galium verum,c,m,0,1390,Lowland
Gentiana acaulis,s,a,1390,3250,Alpine
Gentiana clusii,s,a,1390,3250,Alpine
Gentiana lutea,m,s,1050,1880,Lowland
Gentiana nivalis,a,a,1880,3250,Alpine
Gentiana punctata,s,a,1390,3250,Alpine
Gentiana verna,m,a,1050,3250,Lowland
Gentianella campestris,m,s,1050,1880,Lowland
Gentianella germanica,c,s,0,1880,Lowland
Globularia cordifolia,c,a,0,3250,Lowland
Gnaphalium supinum,a,a,1880,3250,Alpine
Helianthemum nummularium,c,s,0,1880,Lowland
Helianthemum oelandicum,c,m,0,1390,Lowland
Helictotrichon pratense,c,m,0,1390,Lowland
Heracleum sphondylium,c,s,0,1880,Lowland
Hieracium villosum,s,a,1390,3250,Alpine
Hippocrepis comosa,c,s,0,1880,Lowland
Hypericum maculatum,c,s,0,1880,Lowland
Hypochaeris maculata,c,s,0,1880,Lowland
Jacobaea incana,s,a,1390,3250,Alpine
Jasione laevis,"W Europe to Balkans, mountains",Greece,NA,NA,Alpine
Juncus trifidus,s,a,1390,3250,Alpine
Koeleria vallesiana,c,s,0,1880,Lowland
Leontodon hispidus,c,n,0,4810,Lowland
Leontopodium nivale,s,a,1390,3250,Alpine
Leucanthemopsis alpina,a,a,1880,3250,Alpine
Leucanthemum vulgare,c,s,0,1880,Lowland
Linaria alpina,m,n,1050,4810,Lowland
Linum catharticum,c,s,0,1880,Lowland
Linum perenne,s,s,1390,1880,Subalpine
Loiseleuria procumbens,s,a,1390,3250,Alpine
Lotus corniculatus,c,s,0,1880,Lowland
Luzula campestris,c,s,0,1880,Lowland
Luzula multiflora,c,a,0,3250,Lowland
Luzula spicata,s,a,1390,3250,Alpine
Luzula sylvatica,m,m,1050,1390,Lowland
Meum athamanticum,m,s,1050,1880,Lowland
Minuartia sedoides,a,a,1880,3250,Alpine
Minuartia verna,c,a,0,3250,Lowland
Myosotis alpestris,s,a,1390,3250,Alpine
Nardus stricta,s,a,1390,3250,Alpine
Onobrychis montana,s,s,1390,1880,Subalpine
Oxytropis campestris,s,a,1390,3250,Alpine
Oxytropis halleri,c,a,0,3250,Lowland
Parnassia palustris,c,a,0,3250,Lowland
Persicaria bistorta,m,s,1050,1880,Lowland
Phleum alpinum,s,a,1390,3250,Alpine
Phleum hirsutum,s,s,1390,1880,Subalpine
Phyteuma nigrum,"Mountains, Belgium to E Austria",Belgium,NA,NA,Lowland
Phyteuma orbiculare,c,s,0,1880,Lowland
Pilosella officinarum,c,a,0,3250,Lowland
Pimpinella major,m,s,1050,1880,Lowland
Pimpinella saxifraga,c,s,0,1880,Lowland
Plantago maritima,m,s,1050,1880,Lowland
Plantago media,c,m,0,1390,Lowland
Poa alpina,s,a,1390,3250,Alpine
Poa nemoralis,c,s,0,1880,Lowland
Potentilla crantzii,s,a,1390,3250,Alpine
Potentilla grandiflora,s,a,1390,3250,Alpine
Primula auricula,s,a,1390,3250,Alpine
Primula elatior,c,s,0,1880,Lowland
Primula farinosa,m,a,1050,3250,Lowland
Primula veris,c,s,0,1880,Lowland
Prunella vulgaris,c,s,0,1880,Lowland
Ranunculus serpens,c,s,0,1880,Lowland
Rhododendron ferrugineum,s,a,1390,3250,Alpine
Rumex acetosa,c,m,0,1390,Lowland
Rumex acetosella,c,s,0,1880,Lowland
Rumex alpinus,s,s,1390,1880,Subalpine
Saxifraga aizoides,m,a,1050,3250,Lowland
Saxifraga caesia,s,a,1390,3250,Alpine
Saxifraga oppositifolia,a,a,1880,3250,Alpine
Saxifraga stellaris,s,a,1390,3250,Alpine
Scabiosa columbaria,c,m,0,1390,Lowland
Scleranthus perennis,c,m,0,1390,Lowland
Sedum roseum,s,a,1390,3250,Alpine
Sempervivum arachnoideum,c,a,0,3250,Lowland
Senecio squalidus,m,s,1050,1880,Lowland
Seseli libanotis,c,s,0,1880,Lowland
Sesleria caerulea,m,a,1050,3250,Lowland
Sibbaldia procumbens,a,a,1880,3250,Alpine
Silene acaulis,a,a,1880,3250,Alpine
Silene nutans,c,m,0,1390,Lowland
Silene pusilla,s,s,1390,1880,Subalpine
Silene rupestris,m,s,1050,1880,Lowland
Silene vulgaris,m,a,1050,3250,Lowland
Solidago virgaurea,c,a,0,3250,Lowland
Taraxacum campylodes,c,s,0,1880,Lowland
Thlaspi alpestre,s,a,1390,3250,Alpine
Thymus praecox,c,a,0,3250,Lowland
Thymus pulegioides,c,s,0,1880,Lowland
Thymus serpyllum,Europe north of France Austria Ukraine,UK,NA,NA,Lowland
Tofieldia calyculata,m,a,1050,3250,Lowland
Trifolium alpestre,c,m,0,1390,Lowland
Trifolium alpinum,s,a,1390,3250,Alpine
Trifolium badium,s,a,1390,3250,Alpine
Trifolium montanum,c,s,0,1880,Lowland
Trifolium pallescens,s,a,1390,3250,Alpine
Trifolium pratense,c,a,0,3250,Lowland
Trifolium repens,c,s,0,1880,Lowland
Trifolium thalii,s,s,1390,1880,Subalpine
Trisetum flavescens,c,s,0,1880,Lowland
Trollius europaeus,m,s,1050,1880,Lowland
Vaccinium myrtillus,m,a,1050,3250,Lowland
Vaccinium uliginosum,c,m,0,1390,Lowland
Vaccinium vitis-idaea,m,a,1050,3250,Lowland
Verbascum longifolium,"Balkans, S C Italy",Greece,NA,NA,Alpine?
Veronica alpina,s,a,1390,3250,Alpine
Veronica chamaedrys,c,s,0,1880,Lowland
Veronica fruticans,s,a,1390,3250,Alpine
,,,,,
