"Species","Min.elevation","Max.elevation"
"Acaena alpina","2200","2500"
"Acaena pinnatifida","1300","4000"
"Adesmia papposa","0","2500"
"Alstroemeria pallida","1100","2800"
"Anarthrophyllum cumingii","1800","3000"
"Anarthrophyllum gayanum","2000","3700"
"Astragalus vesiculosus","1780","3440"
"Azorella madreporica","1800","3600"
"Berberis montana","500","2700"
"Calandrinia caespitosa","1980","3950"
"Calceolaria biflora","0","2600"
"Calceolaria purpurea","350","2800"
"Cerastium arvense","0","3650"
"Chaetanthera euphrasioides","1200","3700"
"Chaetanthera microphylla","60","3170"
"Diplolepis mucronata","1700","2600"
"Draba gilliesii","400","4000"
"Laretia acaulis","2000","3500"
"Loasa caespitosa","3300","3400"
"Lupinus microcarpus","0","2500"
"Madia sativa","0","2800"
"Microsteris gracilis","0","4100"
"Montiopsis sericea","450","3600"
"Mutisia sinuata","1700","3500"
"Nassauvia pinnigera","3000","4000"
"Nastanthus scapigerus","1720","3800"
"Nicotiana corymbosa","700","3700"
"Olsynium philippii","2000","3000"
"Rhodophiala andicola","750","2800"
"Sanicula graveolens","1500","3000"
"Schizanthus grahamii","330","3500"
"Schizanthus hookeri","1300","3000"
"Senecio eruciformis","1800","3300"
"Sisyrinchium arenarium","1000","3200"
"Sisyrinchium striatum","0","2500"
"Stachys albicaulis","20","2300"
"Stachys grandidentata","0","2900"
"Tristagma bivalve","650","3500"
"Nothoscordum andinum","1500","3500"
"Adesmia emarginata","200","2700"
"Adesmia longipes","1300","3200"
"Adesmia radicifolia","0","3100"
"Calandrinia sericea","1500","2600"
"Calceolaria filicaulis","1400","3100"
"Cardamine cordata","700","2900"
"Carex aphylla","700","2700"
"Carex banksii","0","3000"
"Cortaderia pilosa","10","2500"
"Ditassa albonerva","800","2000"
"Drimys andina","800","1500"
"Embothrium coccineum","0","1500"
"Erigeron cinereus","500","3000"
"Escallonia alpina","0","3000"
"Gaultheria poeppigii","0","2500"
"Gaultheria pumila","600","3200"
"Hypochaeris tenuifolia","2500","3400"
"Luzula brachyphylla","0","3000"
"Montiopsis gayana","500","3500"
"Nassauvia lagascae","1000","4000"
"Nassauvia revoluta","1000","4000"
"Olsynium junceum","200","3500"
"Perezia pedicularidifolia","1000","2200"
"Rytidosperma pictum","170","3020"
"Senecio bipontinii","120","2520"
"Senecio chionophilus","1500","2100"
"Silene andicola","1500","2000"
"Sisyrinchium pearcei","500","2000"
